lat,lng
55.6533488,12.51882706
55.67524611,12.58735676
55.67527966,12.5873638
55.67286667,12.58004875
55.67289135,12.58010921
55.67292625,12.58018697
55.67296562,12.58025701
55.67299415,12.58034088
55.67302988,12.58041291
55.67306035,12.58048989
55.67309201,12.58056154
55.67312447,12.58063667
55.67315491,12.58071338
55.67318909,12.58079097
55.67322167,12.5808719
55.6732556,12.58094746
55.67335818,12.58117805
55.67329238,12.58102468
55.67332604,12.58109351
55.6733841,12.58123969
55.67342092,12.58131432
55.67345021,12.58138075
55.67493212,12.58627454
55.67498688,12.58637959
55.67677201,12.58183783
55.67729435,12.58048769
55.67735755,12.58034591
55.67740276,12.580221
55.696829,12.58270549
55.69684597,12.58279587
55.69689661,12.58320208
55.69694636,12.58320092
55.69371053,12.58362217
55.69547502,12.58025728
55.6943275,12.58237741
55.69424979,12.58252844
55.69397167,12.58408965
55.69378755,12.58444294
55.69327353,12.58438334
55.69509409,12.58194445
55.69521136,12.58173048
55.69533042,12.58150086
55.69546003,12.58023216
55.67332762,12.57333818
55.67339006,12.57320526
55.67340671,12.57316143
55.67352827,12.57298467
55.67354081,12.57293141
55.67373755,12.57361656
55.67341143,12.57330313
55.67337874,12.573368
55.67334605,12.57343286
55.67329444,12.57347728
55.67349973,12.5730673
55.67348214,12.57316104
55.67344485,12.57323588
55.70252361,12.58446359
55.70244934,12.5843924
55.67166669,12.55400065
55.67213243,12.55377973
55.67232677,12.55376893
55.68748355,12.58682657
55.68730711,12.58667493
55.69885556,12.54180743
55.69888168,12.54176815
55.69690319,12.54674185
55.69700089,12.54695292
55.66799332,12.58667328
55.66830501,12.58490147
55.66215766,12.63205011
55.66113456,12.63294707
55.66036285,12.63364341
55.65990895,12.63407925
55.65984,12.63415494
55.6591198,12.63486616
55.65864288,12.63532853
55.6580788,12.63587746
55.65756261,12.63639329
55.65655128,12.63738233
55.65610658,12.63780667
55.65584603,12.63801464
55.65537053,12.63827787
55.6543759,12.63878625
55.65353118,12.63923348
55.65340331,12.6392994
55.65268058,12.63968158
55.65186984,12.64011564
55.64936377,12.64141341
55.64832122,12.6421727
55.6466477,12.64334292
55.66367839,12.60295627
55.66839711,12.59684113
55.66087679,12.60469403
55.66063324,12.60499602
55.66060343,12.60503437
55.66057361,12.60507257
55.6608559,12.60471933
55.66614167,12.5990478
55.66617354,12.59902941
55.6652627,12.59992433
55.66523545,12.59994955
55.66520181,12.59998696
55.66517083,12.6000161
55.66513985,12.60004523
55.66529489,12.59989531
55.66468354,12.60050794
55.65899841,12.60651989
55.65901042,12.60653919
55.66112803,12.59357837
55.66111091,12.59361163
55.67880969,12.57852982
55.67871049,12.57880791
55.67869177,12.57670905
55.67869079,12.57682471
55.67869031,12.57688305
55.67868993,12.57694092
55.67868911,12.57699867
55.67868857,12.57705624
55.67868847,12.57711388
55.67868797,12.57717133
55.67868722,12.57722919
55.67870652,12.57838821
55.67877556,12.57827615
55.67879024,12.57838339
55.67881756,12.57858855
55.67882358,12.57864486
55.67883434,12.57871256
55.67871352,12.57912366
55.67873696,12.57920602
55.67873754,12.57926634
55.67887976,12.57904787
55.67888792,12.57911006
55.67890368,12.57922462
55.67891209,12.57928665
55.66450947,12.53836792
55.68760248,12.50019555
55.68763176,12.50011363
55.68769646,12.50007213
55.69747324,12.55343578
55.67604366,12.56380052
55.67605028,12.56399007
55.67612692,12.56394122
55.67609261,12.56386939
55.67598938,12.56458512
55.67610936,12.56446484
55.67613475,12.56444285
55.67596325,12.56460761
55.67601772,12.56361371
55.67610217,12.56373201
55.65216148,12.62500469
55.65214212,12.62503107
55.65498298,12.62300414
55.65501302,12.6229823
55.6746048,12.57076971
55.67452719,12.57095074
55.67450733,12.5709897
55.70154029,12.54862658
55.70150117,12.54869503
55.70138005,12.54891881
55.70145439,12.54879143
55.70131702,12.54904163
55.70124676,12.54916416
55.70168841,12.54848502
55.65859474,12.533397
55.65856918,12.5341514
55.65858505,12.53449498
55.65854639,12.53484238
55.65855053,12.5354169
55.65858847,12.53559925
55.65858781,12.53588056
55.65859503,12.53736415
55.65858693,12.53844776
55.65853107,12.53339799
55.69731328,12.50654518
55.70252915,12.51209058
55.7024302,12.51202689
55.70234678,12.51198497
55.69732891,12.50657232
55.69394487,12.49490218
55.69620486,12.5039125
55.71576258,12.57186425
55.71580955,12.57195652
55.71585478,12.57204245
55.6640453,12.58047304
55.66493697,12.57840136
55.66525854,12.57759649
55.67017095,12.56918989
55.67022788,12.56906059
55.67032247,12.56904605
55.67049811,12.56886365
55.67263038,12.56695731
55.67229446,12.56731824
55.67207147,12.56756376
55.67593876,12.57700805
55.67599071,12.57715192
55.67630805,12.57801567
55.6762561,12.57787179
55.71075905,12.54016237
55.71217777,12.54202861
55.71210088,12.54182035
55.71174501,12.54229392
55.71181144,12.54246028
55.71063729,12.53841188
55.71670773,12.53051377
55.71673538,12.53053026
55.71678131,12.53056607
55.71657381,12.53089814
55.71680555,12.5305924
55.71667448,12.5309072
55.71686697,12.5306921
55.71631837,12.53154466
55.71688404,12.530733
55.7163396,12.5315791
55.7169099,12.530811
55.71657414,12.53133895
55.71692074,12.53085888
55.71667506,12.53134882
55.71689,12.53158404
55.71686756,12.53161846
55.67910143,12.57176192
55.67912086,12.57174756
55.67910393,12.57185298
55.67909829,12.57181676
55.69158496,12.56210303
55.69173452,12.56238265
55.69192311,12.56273685
55.69129204,12.56144209
55.69149314,12.53924165
55.69675565,12.57255457
55.69681447,12.57266194
55.69571017,12.57049245
55.69573508,12.57050165
55.65009641,12.51052194
55.65008721,12.51043929
55.68665433,12.55692252
55.68619305,12.55697572
55.68633574,12.55658477
55.68640277,12.55641626
55.68668796,12.55679483
55.68652003,12.55659053
55.686469,12.55672367
55.6867743,12.55683592
55.68669664,12.5570265
55.68662145,12.55722176
55.68606156,12.55731288
55.68611011,12.55717507
55.68632228,12.55768547
55.68648237,12.55755397
55.68641282,12.55773003
55.68617163,12.5575064
55.68622181,12.55756738
55.68627128,12.55762559
55.68557862,12.55726018
55.68675595,12.558534
55.68729439,12.5591117
55.68732989,12.55914926
55.68703816,12.5589938
55.67685061,12.59822198
55.67682802,12.59840384
55.70511555,12.58096654
55.70516646,12.58101461
55.7053136,12.58093963
55.70534453,12.58093391
55.70527577,12.58124879
55.7053275,12.5812307
55.6820801,12.58364239
55.68398539,12.5853708
55.68398049,12.58530004
55.71353955,12.56072212
55.71379523,12.56169787
55.714039,12.56247136
55.71425317,12.56310655
55.71459791,12.56419649
